Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTestSuite,,,,27-04-2026 02:59:10,27-04-2026 02:59:13,2.864s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 02:59:10,27-04-2026 02:59:11,0.891s,PASSED
"DATA BINDING - {""recordID"":""d98b6b45-729a-491a-9f67-526fc595fdc3""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 02:59:10,27-04-2026 02:59:11,0.789s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 02:59:11,27-04-2026 02:59:11,0.368s,PASSED
"DATA BINDING - {""recordID"":""1b548590-2886-4bc7-89d3-47ce611bf8bc""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 02:59:11,27-04-2026 02:59:11,0.361s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 02:59:11,27-04-2026 02:59:12,0.351s,PASSED
"DATA BINDING - {""recordID"":""102554cd-cfde-4161-a2fc-47aed70210a1""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 02:59:11,27-04-2026 02:59:12,0.343s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 02:59:12,27-04-2026 02:59:12,0.397s,PASSED
"DATA BINDING - {""recordID"":""584e3c3e-8752-4003-ae8e-aff21f5346d2""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 02:59:12,27-04-2026 02:59:12,0.390s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 02:59:12,27-04-2026 02:59:13,0.368s,PASSED
"DATA BINDING - {""recordID"":""102d9d76-2c59-485d-b53b-833e7e963b91""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 02:59:12,27-04-2026 02:59:13,0.363s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 02:59:13,27-04-2026 02:59:13,0.383s,PASSED
"DATA BINDING - {""recordID"":""c728d68c-264d-4f54-bde2-699479f906ed""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 02:59:13,27-04-2026 02:59:13,0.377s,PASSED
