Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTestSuite,,,,27-04-2026 03:03:02,27-04-2026 03:03:05,3.071s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 03:03:02,27-04-2026 03:03:03,0.952s,PASSED
"DATA BINDING - {""recordID"":""d98b6b45-729a-491a-9f67-526fc595fdc3""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 03:03:03,27-04-2026 03:03:03,0.839s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 03:03:03,27-04-2026 03:03:04,0.537s,PASSED
"DATA BINDING - {""recordID"":""1b548590-2886-4bc7-89d3-47ce611bf8bc""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 03:03:03,27-04-2026 03:03:04,0.529s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 03:03:04,27-04-2026 03:03:04,0.372s,PASSED
"DATA BINDING - {""recordID"":""102554cd-cfde-4161-a2fc-47aed70210a1""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 03:03:04,27-04-2026 03:03:04,0.367s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 03:03:04,27-04-2026 03:03:05,0.386s,PASSED
"DATA BINDING - {""recordID"":""584e3c3e-8752-4003-ae8e-aff21f5346d2""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 03:03:04,27-04-2026 03:03:05,0.378s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 03:03:05,27-04-2026 03:03:05,0.339s,PASSED
"DATA BINDING - {""recordID"":""102d9d76-2c59-485d-b53b-833e7e963b91""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 03:03:05,27-04-2026 03:03:05,0.332s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,27-04-2026 03:03:05,27-04-2026 03:03:05,0.373s,PASSED
"DATA BINDING - {""recordID"":""c728d68c-264d-4f54-bde2-699479f906ed""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,27-04-2026 03:03:05,27-04-2026 03:03:05,0.367s,PASSED
