Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTestSuite,,,,26-04-2026 18:50:14,26-04-2026 18:50:22,7.568s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel | d98b6b45-729a-491a-9f67-526fc595fdc3,,,,26-04-2026 18:50:15,26-04-2026 18:50:20,5.582s,PASSED
"DATA BINDING - {""recordID"":""d98b6b45-729a-491a-9f67-526fc595fdc3""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]))",,,,26-04-2026 18:50:15,26-04-2026 18:50:20,5.480s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel | 1b548590-2886-4bc7-89d3-47ce611bf8bc,,,,26-04-2026 18:50:20,26-04-2026 18:50:20,0.381s,PASSED
"DATA BINDING - {""recordID"":""1b548590-2886-4bc7-89d3-47ce611bf8bc""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]))",,,,26-04-2026 18:50:20,26-04-2026 18:50:20,0.374s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel | 102554cd-cfde-4161-a2fc-47aed70210a1,,,,26-04-2026 18:50:20,26-04-2026 18:50:21,0.391s,PASSED
"DATA BINDING - {""recordID"":""102554cd-cfde-4161-a2fc-47aed70210a1""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]))",,,,26-04-2026 18:50:20,26-04-2026 18:50:21,0.385s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel | 584e3c3e-8752-4003-ae8e-aff21f5346d2,,,,26-04-2026 18:50:21,26-04-2026 18:50:21,0.373s,PASSED
"DATA BINDING - {""recordID"":""584e3c3e-8752-4003-ae8e-aff21f5346d2""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]))",,,,26-04-2026 18:50:21,26-04-2026 18:50:21,0.366s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel | 102d9d76-2c59-485d-b53b-833e7e963b91,,,,26-04-2026 18:50:21,26-04-2026 18:50:22,0.352s,PASSED
"DATA BINDING - {""recordID"":""102d9d76-2c59-485d-b53b-833e7e963b91""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]))",,,,26-04-2026 18:50:21,26-04-2026 18:50:22,0.345s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel | c728d68c-264d-4f54-bde2-699479f906ed,,,,26-04-2026 18:50:22,26-04-2026 18:50:22,0.381s,PASSED
"DATA BINDING - {""recordID"":""c728d68c-264d-4f54-bde2-699479f906ed""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]))",,,,26-04-2026 18:50:22,26-04-2026 18:50:22,0.374s,PASSED
